iter	Passed	Remaining
0	145	145099
1	146	73215
2	148	49484
3	151	37658
4	152	30437
5	155	25797
6	158	22417
7	160	19919
8	161	17799
9	163	16139
10	164	14775
11	166	13678
12	167	12686
13	168	11851
14	171	11259
15	172	10606
16	173	10012
17	173	9486
18	174	9016
19	175	8618
20	177	8262
21	179	7969
22	180	7659
23	180	7358
24	181	7092
25	184	6894
26	185	6683
27	186	6470
28	187	6267
29	188	6081
30	189	5908
31	189	5746
32	190	5591
33	191	5447
34	192	5311
35	193	5182
36	194	5058
37	195	4940
38	195	4828
39	196	4725
40	198	4635
41	199	4542
42	200	4452
43	200	4361
44	201	4275
45	202	4190
46	202	4111
47	203	4033
48	203	3958
49	204	3888
50	205	3820
51	206	3757
52	206	3694
53	207	3633
54	208	3575
55	208	3519
56	209	3464
57	210	3418
58	211	3369
59	211	3320
60	213	3280
61	213	3237
62	214	3193
63	215	3150
64	216	3108
65	216	3068
66	217	3028
67	218	2991
68	218	2954
69	219	2917
70	220	2881
71	220	2846
72	221	2812
73	222	2780
74	222	2748
75	223	2716
76	223	2685
77	224	2654
78	225	2624
79	225	2596
80	226	2569
81	227	2545
82	228	2519
83	228	2495
84	229	2470
85	230	2445
86	230	2421
87	231	2397
88	231	2374
89	232	2351
90	233	2329
91	233	2306
92	234	2285
93	234	2264
94	235	2243
95	236	2223
96	236	2204
97	237	2184
98	237	2165
99	238	2146
100	239	2128
101	239	2110
102	240	2093
103	240	2075
104	241	2061
105	242	2046
106	243	2030
107	243	2014
108	244	1998
109	245	1983
110	245	1967
111	246	1953
112	246	1938
113	247	1923
114	248	1909
115	248	1895
116	249	1880
117	249	1867
118	250	1854
119	251	1841
120	251	1829
121	252	1815
122	252	1803
123	253	1790
124	254	1778
125	254	1766
126	255	1754
127	255	1742
128	256	1732
129	257	1721
130	258	1712
131	258	1701
132	259	1690
133	259	1680
134	260	1670
135	261	1659
136	261	1649
137	262	1639
138	263	1629
139	263	1620
140	264	1610
141	264	1600
142	265	1590
143	265	1581
144	266	1572
145	267	1563
146	267	1554
147	268	1545
148	269	1537
149	269	1528
150	270	1519
151	271	1512
152	271	1504
153	272	1496
154	273	1488
155	273	1480
156	274	1473
157	274	1464
158	275	1457
159	276	1449
160	276	1440
161	277	1433
162	277	1426
163	278	1419
164	278	1411
165	279	1404
166	280	1397
167	280	1390
168	281	1382
169	281	1376
170	282	1369
171	283	1363
172	283	1356
173	284	1349
174	284	1343
175	285	1336
176	286	1331
177	287	1326
178	287	1320
179	288	1314
180	289	1308
181	289	1302
182	290	1296
183	291	1290
184	291	1284
185	292	1279
186	292	1273
187	293	1268
188	294	1262
189	294	1256
190	295	1251
191	296	1245
192	296	1240
193	297	1234
194	297	1229
195	298	1224
196	298	1218
197	299	1213
198	300	1208
199	300	1203
200	301	1200
201	302	1194
202	303	1190
203	303	1185
204	304	1180
205	305	1175
206	305	1171
207	306	1166
208	307	1162
209	307	1157
210	308	1152
211	308	1148
212	309	1143
213	310	1139
214	310	1134
215	311	1130
216	312	1126
217	312	1121
218	313	1117
219	313	1113
220	314	1108
221	315	1104
222	316	1101
223	317	1098
224	317	1095
225	318	1091
226	319	1087
227	319	1083
228	320	1079
229	321	1076
230	322	1072
231	322	1069
232	323	1065
233	324	1061
234	324	1057
235	325	1054
236	326	1050
237	326	1046
238	327	1042
239	328	1039
240	328	1035
241	329	1031
242	330	1028
243	331	1025
244	331	1022
245	332	1019
246	333	1015
247	333	1012
248	334	1008
249	335	1005
250	335	1001
251	336	998
252	337	995
253	337	991
254	338	988
255	338	984
256	339	981
257	340	978
258	340	975
259	341	971
260	342	968
261	342	965
262	343	962
263	343	958
264	344	955
265	345	953
266	346	950
267	346	947
268	347	945
269	348	942
270	349	939
271	349	935
272	350	932
273	350	929
274	351	926
275	352	923
276	352	920
277	353	917
278	354	914
279	354	912
280	355	909
281	355	906
282	356	903
283	357	900
284	357	897
285	358	894
286	358	891
287	359	889
288	360	887
289	361	885
290	362	882
291	363	881
292	364	878
293	364	875
294	365	873
295	366	870
296	366	867
297	367	865
298	368	862
299	368	860
300	369	857
301	369	854
302	370	852
303	371	849
304	371	846
305	372	844
306	372	841
307	373	839
308	374	837
309	375	835
310	376	833
311	376	831
312	377	829
313	378	827
314	379	824
315	379	822
316	380	820
317	381	817
318	381	815
319	382	813
320	383	810
321	383	808
322	384	805
323	385	803
324	385	801
325	386	798
326	386	796
327	387	793
328	388	791
329	388	789
330	389	787
331	390	785
332	391	783
333	392	781
334	392	779
335	393	777
336	393	774
337	394	772
338	395	770
339	395	768
340	396	765
341	396	763
342	397	761
343	398	759
344	398	757
345	399	754
346	399	752
347	400	750
348	401	748
349	401	746
350	402	743
351	402	741
352	403	739
353	404	738
354	405	736
355	406	734
356	406	732
357	407	730
358	408	728
359	408	726
360	409	724
361	409	722
362	410	720
363	411	718
364	411	716
365	412	714
366	413	712
367	413	710
368	414	708
369	414	706
370	415	704
371	416	703
372	417	702
373	418	700
374	419	698
375	419	696
376	420	694
377	421	692
378	421	691
379	422	689
380	423	687
381	423	685
382	424	683
383	425	681
384	425	679
385	426	678
386	426	676
387	427	674
388	428	672
389	428	670
390	429	668
391	429	666
392	430	664
393	431	663
394	432	661
395	432	660
396	433	658
397	434	656
398	434	654
399	435	652
400	435	651
401	436	649
402	437	647
403	437	645
404	438	643
405	438	642
406	439	640
407	440	638
408	440	636
409	441	635
410	441	633
411	442	631
412	443	629
413	443	628
414	444	626
415	445	624
416	446	623
417	446	622
418	447	620
419	448	618
420	448	617
421	449	615
422	449	613
423	450	611
424	450	610
425	451	608
426	452	606
427	452	605
428	453	603
429	454	601
430	454	600
431	455	598
432	455	596
433	456	595
434	457	593
435	457	592
436	458	590
437	458	588
438	459	587
439	460	585
440	461	584
441	461	582
442	462	581
443	462	579
444	463	578
445	464	576
446	464	574
447	465	573
448	465	571
449	466	570
450	467	568
451	467	567
452	468	565
453	468	563
454	469	562
455	470	560
456	470	559
457	471	557
458	471	556
459	472	554
460	473	553
461	473	551
462	474	550
463	475	549
464	476	548
465	477	546
466	477	545
467	478	543
468	478	542
469	479	540
470	480	539
471	480	537
472	481	536
473	482	534
474	482	533
475	483	531
476	483	530
477	484	528
478	484	527
479	485	526
480	486	524
481	486	523
482	487	521
483	488	520
484	488	518
485	489	517
486	490	516
487	490	515
488	491	513
489	492	512
490	493	511
491	493	509
492	494	508
493	494	506
494	495	505
495	496	504
496	496	502
497	497	501
498	497	499
499	498	498
500	499	497
501	499	495
502	500	494
503	500	493
504	501	491
505	502	490
506	502	488
507	503	487
508	504	486
509	504	485
510	505	483
511	506	482
512	507	481
513	507	479
514	508	478
515	508	477
516	509	475
517	510	474
518	510	473
519	511	471
520	511	470
521	512	469
522	513	467
523	513	466
524	514	465
525	514	463
526	515	462
527	515	461
528	516	459
529	516	458
530	517	457
531	518	455
532	518	454
533	519	453
534	520	452
535	521	451
536	521	449
537	522	448
538	523	447
539	523	446
540	524	444
541	524	443
542	525	442
543	526	441
544	526	439
545	527	438
546	528	437
547	528	436
548	529	434
549	529	433
550	530	432
551	531	431
552	531	429
553	532	428
554	532	427
555	533	425
556	534	424
557	534	423
558	535	422
559	536	421
560	536	420
561	537	418
562	538	417
563	538	416
564	539	415
565	539	413
566	540	412
567	541	411
568	541	410
569	542	409
570	543	408
571	544	407
572	544	405
573	545	404
574	546	403
575	546	402
576	547	401
577	547	400
578	548	398
579	549	397
580	550	396
581	550	395
582	551	394
583	552	393
584	552	392
585	553	391
586	554	389
587	554	388
588	555	387
589	555	386
590	556	385
591	557	384
592	558	382
593	558	381
594	559	380
595	560	379
596	560	378
597	561	377
598	562	376
599	562	375
600	563	374
601	564	373
602	565	372
603	565	371
604	566	369
605	567	368
606	567	367
607	568	366
608	569	365
609	569	364
610	570	363
611	571	362
612	571	360
613	572	359
614	573	358
615	573	357
616	574	356
617	575	355
618	575	354
619	576	353
620	577	352
621	577	351
622	578	350
623	579	349
624	580	348
625	580	347
626	581	345
627	582	344
628	582	343
629	583	342
630	584	341
631	584	340
632	585	339
633	586	338
634	586	337
635	587	336
636	587	334
637	588	333
638	589	332
639	589	331
640	590	330
641	590	329
642	591	328
643	592	327
644	592	326
645	593	325
646	594	324
647	595	323
648	596	322
649	596	321
650	597	320
651	597	319
652	598	318
653	599	317
654	599	315
655	600	314
656	601	313
657	601	312
658	602	311
659	603	310
660	603	309
661	604	308
662	604	307
663	605	306
664	606	305
665	606	304
666	607	303
667	608	302
668	609	301
669	609	300
670	610	299
671	611	298
672	611	297
673	612	296
674	613	295
675	614	294
676	614	293
677	615	292
678	616	291
679	616	290
680	617	289
681	617	288
682	618	287
683	619	286
684	620	285
685	620	284
686	621	283
687	622	282
688	623	281
689	623	280
690	624	279
691	625	278
692	626	277
693	626	276
694	627	275
695	628	274
696	628	273
697	629	272
698	630	271
699	630	270
700	631	269
701	631	268
702	632	267
703	633	266
704	633	265
705	634	264
706	635	263
707	636	262
708	636	261
709	637	260
710	638	259
711	639	258
712	639	257
713	640	256
714	641	255
715	641	254
716	642	253
717	643	252
718	643	251
719	644	250
720	645	249
721	645	248
722	646	247
723	647	246
724	647	245
725	648	244
726	648	243
727	649	242
728	650	241
729	650	240
730	651	239
731	652	238
732	652	237
733	653	236
734	654	235
735	655	234
736	655	234
737	656	233
738	657	232
739	657	231
740	658	230
741	658	229
742	659	228
743	660	227
744	660	226
745	661	225
746	662	224
747	662	223
748	663	222
749	664	221
750	664	220
751	665	219
752	665	218
753	666	217
754	667	216
755	668	215
756	669	214
757	669	213
758	670	212
759	671	211
760	671	210
761	672	210
762	673	209
763	673	208
764	674	207
765	674	206
766	675	205
767	676	204
768	676	203
769	677	202
770	678	201
771	678	200
772	679	199
773	680	198
774	680	197
775	681	196
776	682	195
777	683	195
778	684	194
779	685	193
780	685	192
781	686	191
782	687	190
783	687	189
784	688	188
785	688	187
786	689	186
787	690	185
788	690	184
789	691	183
790	692	182
791	692	181
792	693	180
793	693	180
794	694	179
795	695	178
796	695	177
797	696	176
798	697	175
799	698	174
800	699	173
801	699	172
802	700	171
803	701	170
804	701	169
805	702	169
806	702	168
807	703	167
808	704	166
809	704	165
810	705	164
811	706	163
812	706	162
813	707	161
814	708	160
815	708	159
816	709	158
817	709	157
818	710	157
819	711	156
820	712	155
821	713	154
822	714	153
823	714	152
824	715	151
825	716	150
826	716	149
827	717	149
828	717	148
829	718	147
830	719	146
831	719	145
832	720	144
833	721	143
834	721	142
835	722	141
836	723	140
837	724	139
838	724	139
839	725	138
840	726	137
841	727	136
842	727	135
843	728	134
844	729	133
845	729	132
846	730	131
847	731	131
848	731	130
849	732	129
850	733	128
851	733	127
852	734	126
853	735	125
854	735	124
855	736	123
856	737	123
857	738	122
858	738	121
859	739	120
860	740	119
861	741	118
862	742	117
863	743	116
864	743	116
865	744	115
866	745	114
867	745	113
868	746	112
869	747	111
870	747	110
871	748	109
872	749	109
873	750	108
874	750	107
875	751	106
876	751	105
877	752	104
878	753	103
879	753	102
880	754	101
881	755	101
882	755	100
883	756	99
884	757	98
885	758	97
886	758	96
887	759	95
888	760	94
889	760	94
890	761	93
891	762	92
892	762	91
893	763	90
894	764	89
895	764	88
896	765	87
897	765	86
898	766	86
899	767	85
900	767	84
901	768	83
902	769	82
903	769	81
904	770	80
905	771	80
906	772	79
907	773	78
908	773	77
909	774	76
910	775	75
911	775	74
912	776	73
913	777	73
914	777	72
915	778	71
916	779	70
917	779	69
918	780	68
919	781	67
920	781	67
921	782	66
922	783	65
923	783	64
924	784	63
925	785	62
926	786	61
927	786	61
928	787	60
929	788	59
930	789	58
931	789	57
932	790	56
933	791	55
934	791	55
935	792	54
936	793	53
937	793	52
938	794	51
939	795	50
940	795	49
941	796	49
942	797	48
943	797	47
944	798	46
945	799	45
946	799	44
947	800	43
948	801	43
949	802	42
950	802	41
951	803	40
952	804	39
953	804	38
954	805	37
955	806	37
956	806	36
957	807	35
958	808	34
959	808	33
960	809	32
961	810	32
962	810	31
963	811	30
964	812	29
965	812	28
966	813	27
967	813	26
968	814	26
969	815	25
970	816	24
971	817	23
972	817	22
973	818	21
974	819	21
975	820	20
976	820	19
977	821	18
978	821	17
979	822	16
980	823	15
981	823	15
982	824	14
983	825	13
984	825	12
985	826	11
986	826	10
987	827	10
988	828	9
989	828	8
990	829	7
991	830	6
992	831	5
993	831	5
994	832	4
995	833	3
996	833	2
997	834	1
